Country,Women,,,,,,,Men,,,,,,
,Years,,,,As proportion of total CareLE,,,Years,,,,As proportion of total CareLE,,
,Total CareLE,High,Medium,Low,High,Medium,Low,Total CareLE,High,Medium,Low,High,Medium,Low
AT,46,22,8,16,0.47,0.17,0.35,38,15,8,16,0.4,0.2,0.4
BE,38,22,7,8,0.58,0.2,0.22,36,14,9,13,0.39,0.26,0.35
CH,37,20,7,10,0.55,0.19,0.26,34,14,8,12,0.41,0.24,0.35
CZ,42,20,9,13,0.48,0.22,0.3,36,14,7,15,0.4,0.2,0.41
DE,40,19,11,11,0.47,0.26,0.27,37,13,10,14,0.35,0.26,0.38
DK,40,14,9,18,0.34,0.21,0.45,30,9,8,14,0.29,0.26,0.45
EE,40,21,7,12,0.53,0.18,0.29,30,14,5,12,0.45,0.16,0.39
ES,32,17,5,10,0.54,0.16,0.3,24,12,5,8,0.48,0.21,0.32
FI,48,21,8,19,0.44,0.17,0.39,44,20,6,18,0.45,0.15,0.4
FR,41,23,7,10,0.56,0.18,0.25,32,15,7,11,0.45,0.21,0.34
GB,41,25,8,8,0.61,0.19,0.2,36,20,6,9,0.56,0.18,0.26
GR,30,22,3,6,0.72,0.09,0.2,20,13,3,5,0.63,0.13,0.24
HU,39,24,7,8,0.62,0.17,0.21,39,24,5,10,0.63,0.13,0.25
IE,36,23,7,6,0.64,0.18,0.18,26,15,4,8,0.56,0.16,0.29
LU,35,25,6,5,0.71,0.16,0.13,27,13,5,9,0.49,0.17,0.34
NL,35,18,8,9,0.51,0.23,0.26,34,13,9,13,0.39,0.25,0.36
NO,49,20,13,16,0.41,0.27,0.32,50,18,13,19,0.35,0.27,0.38
PL,38,22,7,9,0.58,0.19,0.23,30,14,6,10,0.47,0.19,0.34
PT,27,22,2,4,0.81,0.06,0.13,17,14,1,2,0.82,0.05,0.13
SE,44,18,10,16,0.4,0.23,0.37,44,16,12,16,0.36,0.28,0.36
SI,37,20,5,11,0.55,0.14,0.31,33,14,6,13,0.44,0.18,0.4
SK,38,23,7,7,0.62,0.19,0.2,31,16,7,8,0.53,0.22,0.26
UA,44,32,4,7,0.73,0.1,0.17,35,21,5,10,0.58,0.14,0.27
Mean,39,21,7,10,0.56,0.18,0.26,33,15,7,11,0.47,0.2,0.33
